Username,Review,Rating,Total_reviews,Followers,Expert_level
Vaibhav Agarwal," Went with Family ..took plain uttapam , rava masala dosa , idli vada .. food was very tasty especially Sambhar ...I love their Cold Coffee .. coffee lovers do try their coffee .It is located in a shop that is designed in a too old way , typically Britishers Style ...Do visit ..Space - 8/10 .service -7/10 .Food - 9/10 .cold coffee - 9/10 ...", 4.5,118,56,??
Shikha, This sagar ratna is very old restaurant serving delicious dahi vada & scrumptious south Indian food. This place is loosing its charm due to poor service & dull ambiance. Average place to visit., 2.5,0,0,Expert in Connaught Place
Ashish Sarma," The sofas are torn... Not well maintained. We took one couch that looked OK.. But then were asked to vacate it since it was reserved - even though there was no sign placed on the table that indicated reservation. The waiter's attitude was below the standards of a supposedly good restaurant chain. The food is overpriced for the quality and quantity... There is a minimum standard of presentation that is expected but was not there. Overall an avoidable experience, specially the CP outlet... I have heard the other outlets are good and hence was hugely disappointed coming to this one.", 1.0,1,0,??
Toshi Vasistha," Visited this place recently, because many people referred. Biggest Disappointment. I just love South Indian Cuisines, but what they served was just pathetic. We ordered Mysore Masala Dosa, not at all crispy, served cold and the filling was bland. The Idlis were hard, served cold, the sambhar was more like rasam in terms of consistency , and coconut chutney was ridiculous. Only one item served was fine and that was Filter Coffee. Very bad place, bad food, slow service.", 1.0,0,0,Expert in Connaught Place
Jasmeet Singh," This outlet famous for its versatile southy food has always been my favourite stop for appetite. This tym, ordered mini idlies dipped in sambhar , schezwan noodles and masala tea. There are flavoured idlies as well but we ordered the plain ones. Their taste has always been nice and the staff always welcome the advises.", 3.5,38,75,??
Abilash Baskaran," One of those places that deserved to claim they serve multi cuisine. On my one day pit stop at NCR headed here for a quick dinner in CP. The company I had wanted some ""home food"" and this place sounded safe. The only similarity between Tamil and north Indian cuisine is that they both screw up the other cuisine big time. Don't trust me, try out some panneer tikki from a leading south Indian chain in south. The ambiance was good to seat a 70 people in the ground floor and another 50 in the first. Not great zeal over decors. They were simple and elegant, good lighting, efficient space management. This sure shows they are pro in what they deal with. Service was fast. Waiters know the food (obviously) and are good enough to suggest. Food- Masala dosa is good. You hear that from a Tamil guy, you go try that masala dosa. Sambar was a little off track, not sure where it exactly differed, edible. Chutnies were spot on. Rotis and subjis were decent. I had better ones in the dhabas of chandni chowk earlier that day, they stand no chance in comparing. Total damage for an averagely full meal for three persons was a 600 bucks change. For the south Indian food they serve, they can charge so much. PS- We did get some at home feel after that masala dosa anyways.", 4.0,83,416,??
Neha Singh," South Indian cuisine is one of the lightest food to eat on any day and is also one of my favorites . Whenever one thinks of eating good south Indian food only sarvanna bhavan and sagar ratna (close competitors) come to anyone's mind ; with the former being slightly better of the two in terms of authenticity. Sagar ratna has bit north.Indianised itself in its offerings and the tastes has been twisted accordingly to suit to the localites here . This outlet is located in block K in outer circle and is easy to access from metro station gate number 2/3 as well . Spaced over two floors , interiors are done subtly to depict the simplicity of South India. Wooden furniture , ample lyting , few painting on walls .... And the interiors are done . They offer not just south Indian food , but also north Indian and Chinese . So its a complete restra and not an exclusive south Indian one like sarvanna , with their speciality being south Indian ofcourse . I have visited this outlet quite a number of times now and have tried almost everything that this place has to offer . My personal favorites here are rava Masala dosa , Mysore dosa , filter coffee and dahi vada . On my last visit I tried their vegetable cheeze dosa in which dosa was Stuffed with lots of cheeze and capsicum , carrot etc . The taste was bit bland and it wasn't even going well with the chutneys and sambhar served and hence was a disappointment. It's not just south Indian food , their north Indian offerings are also good to taste . What stands out here for this place is Chinese combo - reasonable , spicy , flavorful and ample quantity ; this one is definitely worth the price . What I personally love about sagar ratna is that they keep introducing new types of dosas on monthly basis and keep improvising on their menu regularly . Recently they are celebrating podi fest and the offerings are really great and I will be visiting them soon to try them. Service is quick , staff is courteous and pricing is decent too . Worth a try !!", 3.5,0,0,Expert in Connaught Place
Kritika Sharma," Located in outer circle of connaught place in k block. when i was visit here its was not crowded and i get easily seat. Order my fav masala dosa which is not disappoint me. Service is slow, rest all things is good.", 4.0,31,29,??
Willie Ahuja, Reminded me of good old taste of bengaluru sambhar. Rest food was average. Long waiting queue. Think twice as may not worth waiting for so long. Will visit again if short of options., 3.0,8,3,??
Sanjeev Pandey," Worst sagar ratna ever visited, spoied my daughter bday party, strongly recommending do not go to this outlet. Dirty wash room brunt and insipid food ...bewareeee....", 1.0,15,32,??
Punit	Dwivedi, Sagar Ratna has some of the best and classic South Indian food in Delhi. It's always bustling and busy but the food is amazing. The ambiance is rather casual however and this takes some getting used to for first timers. ...., 4.0,10,20,??
Deepak Hooda," Good food - ordered thali which included everything we wanted yummy paneer, rice, aalo beans, raita, daal makhni, salad, delivery was also pretty fast", 5.0,1,5,??
Akash Shah," Worst dining experience. Have tried Sagar ratna at other outlets and never expected such food. There was a huge waiting outside, was excited for the food but all in vain. Mysore masala dosa was as soft as roti and served cold. Podi idli was a disaster. Sambhar was as thick as rasam (and rasam was out of stock and I wonder why). Tried pesarattu mla dosa for the first time, now this actually tastes this why or just prepared badly as other items. Only well served items were madras idli fry, hot n crisp and sweet lime soda. I hope I just ended up here on a bad bad n food is not bad on other days. Needs a lot of improvement.", 2.0,43,126,??
Rakesh Shah, It is obvious that these guys take their commitment to delivering a good experience to their customers seriously. I will be giving them return business.The ambiance of Clay Pit is very pleasing and would recommend trying them out!, 4.0,3,57,??
Sachin Kumar, Disappointment of epic proportions. I frequently go sarvan bhawan for south Indian food but unfortunately I thought of trying out this place last night. There was some podi feast going on so we ordered podi idlis because the photo in the menu looked so delicious. But when the real idlis came the excitement was gone. They tasted nothing like what I had expected. The fried idlis where good. We ordered Mysore masala dosa and pessarattu dosa. Both were below mark. The sambhar was more like rasam in terms of consistency. Will never go there again., 1.5,16,67,??
Judith J Scenario, I go here about once every two months. Their food is of consistent quality and service is friendly and swift. I usually have the coconut dosa which is yummie., 3.5,46,29,??
Mukesh Chugh," Hopeless, pathetic, horrible... There was no taste in anything. Their quality has detoriated badly. Decided from now onwards big no to Sagar Ratna.", 1.0,2,13,??
PRAMOD," Sagar Ratna is a good name in Delhi NCR for their south Indian food items and north Indian food also....I was visiting first time to any sagar ratna restaurant.So I went to this outlet in C.P. with my 2 other friends who are from South India andhra Pradesh and I also have lived there in Andhra Pradesh for more than 8 years.So iam too much familiar with all the taste and items of South India.Biryani,idli,dosa,vada,upma,uttapam etc. So after we went there there was a huge rush as it was Saturday of October month and we waited more than half an hour for our number.Space is good 2 floors are there.We got seats in the top floor.And our order was as follows: Paneer,lemon rice,mixed raita,butter naan and papad.... Now coming to the waiting time after we order.The person who took the order told us that it will take more than 20 minutes to bring our food.So I asked him to give the papads first and you will not believe they took more than 20 minutes to deliver me papads...And food it came nearly after 40 minutes....So we were upset with the time they took for bringing us the food....coming to cleanliness they are maintaining it nicely but they must make the hand wash area big there as it is too much small in the top floor and it brings problem to all the people waiting for hand wash as there is space to stand for only 1 person who would be washing his/her hands.No other person can even stand up in that small place.... Lemon rice was above average.Naans were perfect and same was with mixed raita and paneer was also good..... So my verdict is that this SAGAR RATNA restaurant is not up to the verdict and name it has in other locations in Delhi NCR.....They must cooperate nicely with their customers as we asked them nearly 7-8 times how much time it will take for our food to come.....So please SAGAR RATNA management team.... Maintain your C.P. branch perfectly as you are maintaining it in other locations......", 3.5,7,0,??
Daksh Soni, Its USP is its ambience. The place is so much neat and clean. A total treat for the eyes and for the health as well. The Rawa Masala Dosa was sumptuous and the Rawa Idli was also tasty. The Coffee here was very different from other places. Everything from service to food to each and everything was just spectacular., 4.5,20,230,??
Ankush Virmani, Though not to say about southiieee its unmatchable but the thing disappointing me is the biryani ..... Not good in taste Coconut chatni is delicious, 4.0,24,13,??
Sumit Juneja Ghai," Yummy food ... Quick good service ... Masla Dosa , Vada dipped in sambar , Idli and ofcourse South Indian Thali a must try .... Ambience can be improved .", 4.0,12,22,??
Vaishali Gupta," Absolutely cherishing! If you love south Indian food like me, this is the ""IT"" place. The best part is their quick service. Food ordered : lemon rice, idli sambar, dahi vada. All were delightful. Especially the dahi vada was ecstatic. For people who can't stand spicy food, I do not recommend it. But if you love the flavor of green chillies in your food like me, you are gonna love it. Ambiance 3/5 Food 4.5/5 Service 4/5", 4.5,50,102,??
Sharath Nair, Been here couple of times... It's not very expensive according to CP standards... Food is okay.. But more tasty food would be to cross the street and go to saravana bhavan..., 3.5,100,188,??
Prateek Bhandari, pathetic food. Pls. Wait for an hour if u need to at close by sarvana bhavan but dont go here. The dosa sambhar all pathetic. Tomato onion uttapam is very bad., 1.0,27,65,??
Sania," Had masala dosa, maysore rava masala dosa. Nothing great, taste average, dosa was ok but samber not upto the mark. Veg special Thali is also not very great. My experience this time with sagar ratna at connaught place no good. After disappointment with food had filter coffee, its really great.", 3.0,91,3071,??
Sidharth Sharma," I really love the food when it comes to sagar, I have tried almost every outlet and the food is almost the same. This too has similar yet delicious food. Avoid going there at weekends, the place gets a bit crowded.", 4.0,25,113,??
Shreya Mago," This place is best for people who are hungry and is apt for those with less amount in hand. If you are a south indian food buff, surely visit this place. The food is oh so awesome and the service is good too.", 4.0,4,4,??
